a1,a2,a3,a4,a5,a6,a7,label
0.57,-7.28,0.86,0.09,-1.39,-0.57,27205477.38,1
0.21,3.02,0.79,0.19,0.14,0.09,12377559.05,1
3.75,-0.03,0.97,0.03,0.12,-0.05,17775038.1,1
0.1,1.13,0.78,0.08,0.24,0.12,8977214.22,1
0.2,-2.64,1.33,0,-0.15,-0.95,7110156.97,1
0.12,3.12,0.72,0.16,0.38,0.22,12145488.57,1
0.27,9.16,0.82,0.14,0.23,0.1,30388989.52,1
0.17,2.95,0.77,0.17,0.62,0.06,8008090.48,1
0.13,-2,0.91,0.07,0.48,-0.43,13211711.43,1
0.08,2.93,0.85,0.04,0.27,0.06,11876750.69,1
0.07,-2.13,1.03,0.03,0.08,-0.11,18992637.14,1
62.77,-0.34,1.14,0,0,-0.25,17899953.33,1
0.15,1.84,0.75,0.18,0.34,0.09,9084624.76,1
0.23,1.99,0.28,0.28,0.25,0.06,45983642.66,1
0.36,-1.26,1.13,0.04,0.27,-0.32,7170951.99,1
0.04,-0.72,0.9,0,0.2,-0.17,10674842.11,1
0.04,2.44,0.71,0.03,0.13,0.17,11829266.67,1
0.07,-1.64,0.83,0.02,0.11,-0.1,11453326.67,1
0.44,3.07,0.82,0.03,0.19,0.1,14896474.29,1
0.07,3.02,1.01,0.08,0.4,-0.15,8362005.54,1
0.03,1.85,0.79,0.03,0.32,0.06,10609350.48,1
0.21,6.88,0.79,0.03,0.45,-0.17,11477654.29,1
0.25,3.93,0.75,0.08,0.12,0.07,13098116.19,1
0.27,3.83,0.77,0.1,0.41,0.07,8593520.78,1
0,1.68,0.68,0.02,0.12,0.15,14115350.48,1
0.13,-1.25,0.92,0.09,-0.01,-0.1,8074142.86,1
0.18,-0.04,0.79,0.24,0.14,-0.38,252953000.9,1
0.18,1.47,0.96,0.01,0.33,-0.06,15836311.43,1
0.18,1.54,0.82,0.21,0.08,0.04,7200952.38,1
0,-8.94,1.1,0.11,0.93,-0.65,16765881.9,1
1.57,-1.18,0.71,0.06,0,-0.16,14315033.24,1
0.06,-4.52,0.86,0.03,0.29,-0.09,6820934.29,1
0.04,0.86,0.44,0.1,0.83,-0.04,7459135.73,1
0.03,-1.07,0.92,0.19,0.24,-0.02,8649376.19,1
0.43,4.68,0.41,0.06,0.12,0.55,17148796.19,1
0.3,0.3,0.94,0.03,0.56,-0.13,46230024.76,1
1.64,-3.07,0.99,0.04,0.06,-0.22,10558962.14,1
0.12,10.84,0.6,0,0.56,0.18,7836762.7,1
0,1.58,0.98,0.42,0.46,-0.27,8781116.19,1
0.52,-3.65,0.98,0.07,-0.14,-0.6,13170694.29,1
0.16,-1.54,0.92,0.02,0.04,-0.12,33842720,1
0.03,-16.33,1.32,0.05,0.03,-0.86,8786261.9,1
0.19,4.23,0.74,0.11,0.29,0.14,13513473.68,1
0.05,2.01,0.92,0.07,0.16,-0.01,58353169.9,1
0.14,2.35,0.85,0.01,0.15,-0.02,14369969.52,1
0.43,-6.89,0.81,0.3,0.04,-0.15,20587018.47,1
0.07,1.13,0.79,0.16,0.38,0.06,7404391.43,1
0.13,0.71,0.88,0.17,0.3,-0.19,8991263.16,1
0.15,0.3,0.97,0.16,0.2,-0.29,47894267.62,1
0.1,1.26,0.6,0.04,-0.23,-0.02,95064856.19,1
15.4,-0.46,1.02,0,0.01,-0.06,71046872.38,1
0.17,2.29,0.5,0.09,0.77,0.15,20600149.58,1
0.12,-22.02,1.36,0,-0.7,-0.46,10127360,1
1.55,-0.86,1.22,0.1,0.07,-0.3,20160514.31,1
0.19,-0.66,1.01,0.02,0.05,-0.43,9794876.19,1
0.23,0.59,0.89,0,0.94,-0.16,10360481.99,1
0.23,4.62,0.67,0.05,0.31,0.07,18582745.71,1
27.63,-0.69,0.92,0.02,0.01,-0.01,21292738.1,1
0.7,1.07,0.97,0.01,0.02,-0.19,15061305.71,1
0.25,8.08,0.71,0.1,0.54,0.05,22100418.1,1
0.37,-0.59,0.87,0.06,0.28,-0.12,10745211.43,1
0.05,5.87,0.75,0,0.49,0.18,30206606.67,1
0.02,-15,1.5,0.57,0.75,-1.05,38390691.43,1
0.38,-0.27,0.9,0.02,0.21,-0.14,6609418.28,1
0.08,3.15,0.72,0.13,0.57,0.11,18722397.05,1
0.52,-2.18,1.32,0.05,0.69,-0.42,9215634.35,1
0.14,-29.15,1.14,0,-0.41,-0.97,8271785.71,1
0.04,4.16,0.57,0.05,0.17,0.03,61404957.53,1
0.12,-3.4,0.97,0.16,0.37,-0.02,33506718.37,1
0.25,1.58,0.75,0.33,0.27,0.03,11377811.63,1
0.02,8.48,0.97,0.1,0.33,0.01,15975676.19,1
0,786.88,0.54,0.01,0.14,0.08,36259862.42,1
0.05,-10.03,1.1,0.02,0.02,-0.13,16359468.57,1
0.03,4.76,0.47,0.32,0.38,0.31,9075699.05,1
0.12,2.43,0.89,0.04,0.13,0.01,24936859.05,1
0.15,5.14,0.66,0.28,0.34,-0.08,7802633.33,1
0.19,0.83,0.87,0.25,0.1,0.05,23583067.62,1
0.29,0.15,0.98,0.19,0.22,-0.04,9424237.14,1
0.28,2.94,0.74,0.31,0.15,0.09,15349139.05,1
41.24,-271.41,0.94,0,0,-0.04,12916199.45,1
0.16,1.95,0.75,0.07,0.24,0.16,9022140.95,1
0.23,1.53,0.72,0,0.23,0.03,14955604.8,1
0.13,-1.41,0.82,0.01,0.1,-0.19,10420592.38,1
0.22,83.41,0.7,0.08,0.1,0.06,7438164.36,1
0.93,2.09,0.89,0.08,0.07,0.04,15295475.53,1
0.12,-0.66,1.11,0,0.37,-0.21,10799356.19,1
0.76,0.37,0.59,0.01,0.17,0.24,25553235.46,1
0.13,0.4,0.87,0.15,-0.51,-0.12,14969908.59,1
0.01,-5,0.77,0.05,2.12,0.02,15475632.5,1
0.35,1.59,0.94,0.01,0.08,0,19534321.9,1
0.08,3.48,0.75,0.09,0.44,0.03,15835559.05,1
0.12,1.16,0.96,0.01,0.32,-0.15,11406043.81,1
0.28,1.92,0.61,0.22,0.17,0.07,11613515.24,1
0.09,-0.07,0.85,0,0.46,0,7459200,1
0.08,2.75,0.78,0.2,0.33,0.04,8263809.52,1
0.09,2.72,0.81,0.15,0.37,-0.04,8239168.05,1
0,33.43,0.37,0.09,0.62,0.52,8554600.95,1
0.18,1.1,0.92,0.08,0.27,-0.11,7214813.48,1
1.14,3.57,1.09,0.36,0.12,-0.09,13899834.72,1
0.01,-0.07,1.2,0.11,1.77,-0.64,19642206.67,1
0.71,1.2,0.79,0.02,0.28,0.05,11688237.14,1
1.22,3.37,0.91,0.05,0.15,0.03,11951331.49,1
0.15,2.2,0.94,0.02,0.25,-0.09,8270814.29,1
0.34,2.8,0.8,0,0.24,0.04,11820290.86,1
0.17,2.17,0.79,0.3,0.65,0.16,17259867.62,1
0.57,5.61,0.76,0.05,0.31,0.08,35144861.5,1
0.36,3.17,0.81,0,0.33,0.04,8241056.19,1
0.67,-4.07,0.68,0.2,-0.02,-1.78,11974577.14,1
0.02,0.43,0.93,0.11,0.27,-0.06,23194713.33,1
0.12,15.4,0.83,0.05,0.14,0.11,13030547.62,1
0.33,5.59,0.48,0.09,0.27,0.23,9848176.19,1
0.33,1.31,0.83,0.28,0.17,0.03,14886453.33,1
0.14,2.36,0.86,0.02,0.35,0.05,11493333.33,1
0.05,2.63,0.8,0.34,0.12,0.05,17560594.64,1
0.17,3.39,0.92,0.01,0.68,0.05,10631354.29,1
1.56,-0.4,0.91,0.05,-0.01,0.03,18080464.45,1
0.26,3.36,0.84,0.02,0.41,-0.05,7823621.9,1
1.12,4.11,0.67,0.05,0.14,0.24,16330351.43,1
0.03,-3.44,1.05,0.13,0.48,-0.21,9779772.38,1
1.65,0.64,1.02,0.12,0.05,-0.03,24902595.24,1
0.18,-10.91,1.22,0.14,-0.5,-0.51,80857362.86,1
0.25,1.19,0.83,0.12,0.28,0.11,15240147.74,1
0.2,0.11,1.07,0.03,-0.09,-0.13,8091421.9,1
0.11,4.05,0.77,0,0.76,0.04,49571776.55,1
0.01,3.72,0.82,0,0.53,0.04,6558531.86,1
0.09,1.99,0.71,0.01,0.46,-0.01,12518041.9,1
0.97,2.89,0.89,0.02,0.1,0.04,51207530.93,1
0.33,4.08,0.78,0.04,0.32,0.06,8644531.43,1
0.06,1.37,0.59,0.23,0.16,0.15,7555828.57,1
0.1,-0.76,0.94,0.01,0.35,-0.05,12255890.48,1
0.21,-0.16,0.99,0.01,0.14,-0.19,7534191.43,1
0.03,2.21,0.86,0.17,0.22,0.09,13265253.33,1
0.36,3.81,0.77,0.01,0.34,0.08,20104772.85,1
0.07,1.54,0.83,0.18,0.46,0.03,6813795.01,1
0.09,6.47,0.8,0.12,0.75,0.04,14167369.52,1
0.55,3.6,0.94,0.09,0.14,0,22594396.19,1
0.17,-0.66,0.9,0,0.06,-0.02,9236021.9,1
0.3,-5.19,0.87,0.02,0.42,-0.07,13776900.95,1
0.48,3.57,0.84,0,0.04,0.02,8328620.5,1
0.21,2.31,0.83,0.01,0.44,0.05,10331943.81,1
0.39,-2.4,0.89,0.24,0.09,0.03,21569537.4,1
0.28,5.29,0.77,0.13,0.2,0.05,18216445.98,1
0.06,-21.94,1.51,0.23,0.08,-0.69,36366072.38,1
0.13,0.95,0.85,0.03,0.38,-0.02,15465880,1
1.84,5.65,0.82,0.01,0.05,0.01,7197497.69,1
0.05,4.49,0.88,0.74,0.06,0.05,20745008.57,1
0.06,5.03,0.75,0.02,0.66,0.04,7437504.76,1
0.13,-1.62,0.75,0.53,0.48,0,9105748.85,1
0.03,0.96,0.88,0.07,0.26,0.02,9398856.19,1
1.41,3.17,0.84,0.08,0.1,0.01,21791070.48,1
0.24,4.99,0.83,0.07,0.48,0.02,9079069.52,1
0.29,1.43,0.94,0,0.13,0.02,33879969.52,1
0.71,3.93,0.86,0,0.21,0.08,11753220.68,1
0.14,8.3,0.99,0.01,1.23,-0.14,9376123.81,1
0.21,-5.62,1.01,0,-0.37,-0.24,10222298.1,1
0.08,2.15,0.82,0.08,0.43,0.1,7425313.33,1
0.32,0.91,0.83,0.03,0.33,0,10669693.33,1
0.21,0.92,0.84,0.11,0.38,-0.36,34739601.9,1
0.13,13.88,0.93,0.02,0.2,0.02,8393344.76,1
0.06,-13.78,0.91,0.15,0.25,-0.47,35023403.81,1
0.08,1.9,0.77,0.01,0.58,0.02,13662506.67,1
0.55,3.28,0.99,0,0.3,-0.06,18186475.24,1
